k,label_prior,max_iter,max_total_weight,min_cluster_size,min_prob,model_prior_strength,n_iter,n_neighbors,noise_prior,tolerance,iteration,train_size,duration,adj_rand,adj_rand_no_noise,number_of_clusters,proportion_of_noise
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,22,0.9,6.276423215866089,0.8808148088392747,0.9106968108995327,11,0.026333333333333334
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,23,0.9,8.913022518157959,0.8802773694793848,0.9108973035543694,11,0.02692063492063492
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,24,0.9,7.277089834213257,0.8849339349445366,0.9151893344805755,11,0.026523809523809522
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,25,0.9,6.644114971160889,0.8816101257926009,0.9117476093690368,11,0.02649206349206349
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,26,0.9,7.0877296924591064,0.8825454895266016,0.9123956426868801,11,0.026253968253968255
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,27,0.9,6.926642894744873,0.8850171628200069,0.9145394592555837,11,0.025936507936507938
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,28,0.9,6.978457689285278,0.8841838297509608,0.9143136644720389,11,0.026444444444444444
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,29,0.9,9.103793859481812,0.8883604289908912,0.9180428236008215,11,0.025968253968253967
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,30,0.9,8.362046241760254,0.8893759724563042,0.9183016440300922,11,0.025365079365079365
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,31,0.9,7.804897785186768,0.8808397666864893,0.9098698354731177,11,0.025666666666666667
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,32,0.9,7.718117952346802,0.8528727179546011,0.8816661930265317,12,0.025555555555555557
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,33,0.9,7.922094345092773,0.8806468657624155,0.9110120853388517,11,0.026714285714285715
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,34,0.9,7.664751291275024,0.8812839637188066,0.9115621135510319,11,0.026634920634920636
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,35,0.9,7.388169765472412,0.8820122669473386,0.9120206745377151,11,0.02642857142857143
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,36,0.9,7.204734802246094,0.8815626279665725,0.9121913177062357,11,0.026857142857142857
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,37,0.9,6.934912443161011,0.8803594056911991,0.9091635751013089,11,0.025507936507936507
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,38,0.9,7.366867780685425,0.8815996264265459,0.9116648553240614,11,0.026460317460317462
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,39,0.9,7.46883225440979,0.8808138289730557,0.9101812919367142,11,0.02592063492063492
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,40,0.9,7.567986011505127,0.8904546888904077,0.92016252786354,11,0.025936507936507938
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,41,0.9,6.955312967300415,0.8854900631033515,0.9148893664546252,11,0.025873015873015874
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,42,0.9,6.863685131072998,0.8810487852061017,0.911819878840692,11,0.027063492063492064
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,43,0.9,7.6023478507995605,0.8405718168525819,0.8728126178068295,12,0.028634920634920635
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,44,0.9,7.470374584197998,0.887802750037731,0.9179749592188363,11,0.026365079365079366
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,45,0.9,7.326904535293579,0.8970601344134482,0.9271639101041181,11,0.02604761904761905
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,46,0.9,7.098968982696533,0.8535183424719954,0.8844479594592464,12,0.027285714285714285
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,47,0.9,7.3073437213897705,0.8870415795621012,0.916204372671346,11,0.025619047619047618
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,48,0.9,7.102347135543823,0.8766936489256424,0.9052343880681952,11,0.025380952380952383
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,49,0.9,7.769261598587036,0.8755342531602925,0.905979731265189,11,0.026936507936507936
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,50,0.9,7.818375587463379,0.8822216049875304,0.9113761510504576,11,0.025746031746031746
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,51,0.9,7.764443635940552,0.8833591041530641,0.9125686980629674,11,0.025714285714285714
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,52,0.9,6.798341274261475,0.8545208069053573,0.8869797243795255,12,0.028428571428571428
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,53,0.9,6.875614881515503,0.8529476112873142,0.8851454246212329,12,0.02823809523809524
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,54,0.9,7.151814937591553,0.8789211860505474,0.9089479541533728,11,0.026476190476190476
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,55,0.9,6.959578514099121,0.8791105960035953,0.9082664826818666,11,0.025825396825396824
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,56,0.9,6.989855766296387,0.8802562630780643,0.9103752079761234,11,0.026571428571428572
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,57,0.9,7.252470254898071,0.8827290888528923,0.912119018166911,11,0.02592063492063492
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,58,0.9,6.84591007232666,0.8789512702215009,0.9092918033366603,11,0.02673015873015873
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,59,0.9,7.057762384414673,0.8796629145255951,0.9096367117488131,11,0.02642857142857143
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,60,0.9,7.325737953186035,0.8832998134541339,0.9129914598771032,11,0.026126984126984127
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,61,0.9,7.101012468338013,0.8865700608753273,0.915927394277424,11,0.025793650793650792
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,62,0.9,6.927087306976318,0.8792795829062919,0.9091797110334362,11,0.026412698412698412
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,63,0.9,6.595578193664551,0.8787233192206868,0.9075163272994887,11,0.025523809523809525
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,64,0.9,7.080240964889526,0.8803023525763373,0.909918185854347,11,0.026111111111111113
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,65,0.9,6.742076396942139,0.8820368036123714,0.9112103252219004,11,0.025714285714285714
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,66,0.9,7.165627956390381,0.8799305404062074,0.9105361683807873,11,0.02688888888888889
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,67,0.9,6.377445936203003,0.8853263012834215,0.9145227769541346,11,0.025666666666666667
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,68,0.9,6.661613464355469,0.8825113686472208,0.9114630573636024,11,0.02557142857142857
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,69,0.9,6.8921098709106445,0.8509105898693361,0.8829570265891225,12,0.028158730158730157
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,70,0.9,7.115527629852295,0.8874167193216511,0.9166969781459069,11,0.025682539682539682
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,71,0.9,6.99399471282959,0.8524915354312828,0.885275995597704,12,0.028777777777777777
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,72,0.9,6.689027547836304,0.8771990730781978,0.9069641981205581,11,0.026349206349206348
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,73,0.9,5.679305553436279,0.889165336680321,0.9196611522952488,11,0.026571428571428572
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,74,0.9,7.078512907028198,0.8928734290352984,0.9233602965623501,11,0.026444444444444444
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,75,0.9,6.96825098991394,0.8847773754729009,0.9140741787508214,11,0.025746031746031746
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,76,0.9,7.079309701919556,0.8826071035776062,0.9117585745739629,11,0.0256984126984127
