k,label_prior,max_iter,max_total_weight,min_cluster_size,min_prob,model_prior_strength,n_iter,n_neighbors,noise_prior,tolerance,iteration,train_size,duration,adj_rand,adj_rand_no_noise,number_of_clusters,proportion_of_noise
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,38,0.9,7.244382858276367,0.8462573054820542,0.8761413113938067,12,0.026634920634920636
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,39,0.9,6.868610143661499,0.87884393470265,0.9092157917463689,11,0.02676190476190476
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,40,0.9,6.74580454826355,0.8840216685919757,0.9151622161962525,11,0.02722222222222222
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,41,0.9,7.0608744621276855,0.8876315387167911,0.9177250504213466,11,0.026317460317460316
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,42,0.9,11.047780513763428,0.887715321233939,0.9175066552388926,11,0.02604761904761905
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,43,0.9,10.185018301010132,0.8808010603410462,0.9107190719443533,11,0.026349206349206348
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,44,0.9,10.356605291366577,0.8863104775545958,0.9167439689830182,11,0.02661904761904762
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,45,0.9,10.887076377868652,0.8883450545972037,0.9170513759414741,11,0.025206349206349208
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,46,0.9,9.997137308120728,0.8828299264315372,0.9118860742644213,11,0.025634920634920635
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,47,0.9,10.299256086349487,0.8842371555732181,0.9142838898650215,11,0.026349206349206348
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,48,0.9,10.13603138923645,0.8788489058563327,0.9084514475949841,11,0.026206349206349205
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,49,0.9,10.044697999954224,0.8803533409293356,0.9097344685423122,11,0.025952380952380952
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,50,0.9,10.090840339660645,0.8816205535688731,0.9116421321968109,11,0.026444444444444444
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,51,0.9,10.244654655456543,0.8887026927238486,0.9183292325900506,11,0.02592063492063492
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,52,0.9,10.250117301940918,0.8804551535342137,0.910363729812836,11,0.026349206349206348
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,53,0.9,10.340739965438843,0.8924091532269176,0.9230226806685257,11,0.026555555555555554
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,54,0.9,10.199116945266724,0.8782925727561495,0.9073258794074232,11,0.025746031746031746
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,55,0.9,10.147698879241943,0.8784566761336666,0.9073884888342528,11,0.02565079365079365
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,56,0.9,9.94637131690979,0.8820220597380956,0.912243982030509,11,0.026555555555555554
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,57,0.9,12.138280868530273,0.8862443138139623,0.9166705058682261,11,0.026603174603174604
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,58,0.9,10.906045913696289,0.8848163224940038,0.9148033115459596,11,0.0263015873015873
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,59,0.9,12.073291540145874,0.8884140603038341,0.9174982657002251,11,0.025476190476190475
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,60,0.9,10.539121150970459,0.8913779325152229,0.921028278291473,11,0.025873015873015874
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,61,0.9,10.615692377090454,0.8809549272616248,0.910569192339934,11,0.02614285714285714
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,62,0.9,10.603790283203125,0.8475224279632052,0.8783055188580251,12,0.02749206349206349
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,63,0.9,10.564527034759521,0.87934318234271,0.9098898612906526,11,0.026904761904761904
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,64,0.9,10.081367254257202,0.883995968610871,0.9129403170297392,11,0.025507936507936507
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,65,0.9,10.08001708984375,0.8873960343683954,0.916303069803374,11,0.025396825396825397
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,66,0.9,11.492808103561401,0.8769706785170623,0.9067203895418263,11,0.026349206349206348
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,67,0.9,10.250244855880737,0.8852998437943209,0.915451959410877,11,0.026412698412698412
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,68,0.9,10.247148752212524,0.8791882276983941,0.9092546949151253,11,0.026507936507936508
